timestamp,shipid,lat,lon,shiptype
2025-06-30 12:00:00,SHIP_A,37.950875,23.631451,cargo
2025-06-30 12:05:00,SHIP_A,37.952107,23.632549,cargo
2025-06-30 12:10:00,SHIP_A,37.952763,23.633205,cargo
2025-06-30 12:15:00,SHIP_A,37.953321,23.634572,cargo
2025-06-30 12:20:00,SHIP_A,37.954422,23.63578,cargo
2025-06-30 12:25:00,SHIP_A,37.954422,23.63578,cargo
2025-06-30 12:30:00,SHIP_A,37.954422,23.63578,cargo
2025-06-30 12:35:00,SHIP_A,37.954422,23.63578,cargo
2025-06-30 12:40:00,SHIP_A,37.954942,23.63725,cargo
2025-06-30 12:45:00,SHIP_A,37.956275,23.637962,cargo
2025-06-30 12:50:00,SHIP_A,37.956957,23.638645,cargo
2025-06-30 12:55:00,SHIP_A,37.957761,23.63967,cargo
2025-06-30 13:00:00,SHIP_A,37.958693,23.640461,cargo
2025-06-30 13:05:00,SHIP_A,37.959805,23.641101,cargo
2025-06-30 13:10:00,SHIP_A,37.959805,23.641101,cargo
2025-06-30 13:15:00,SHIP_A,37.959805,23.641101,cargo
2025-06-30 13:20:00,SHIP_A,37.960597,23.641967,cargo
2025-06-30 13:25:00,SHIP_A,37.961553,23.643252,cargo
2025-06-30 13:30:00,SHIP_A,37.962253,23.644267,cargo
2025-06-30 13:35:00,SHIP_A,37.963345,23.644813,cargo
2025-06-30 12:02:00,SHIP_B,37.951108,23.630671,fishing
2025-06-30 12:12:00,SHIP_B,37.953138,23.633428,fishing
2025-06-30 12:17:00,SHIP_B,37.953943,23.634025,fishing
2025-06-30 12:22:00,SHIP_B,37.955127,23.634966,fishing
2025-06-30 12:27:00,SHIP_B,37.955127,23.634966,fishing
2025-06-30 12:32:00,SHIP_B,37.955127,23.634966,fishing
2025-06-30 12:37:00,SHIP_B,37.955127,23.634966,fishing
2025-06-30 12:42:00,SHIP_B,37.955749,23.635961,fishing
2025-06-30 13:32:00,SHIP_B,37.963496,23.645025,fishing
2025-06-30 13:37:00,SHIP_B,37.964041,23.645851,fishing
